company,annual_report,400_owners_index,sustainable_development_present,responsible_investment_esg_present,green_growth_present,net_zero_present,decarbonization_present,transition_finance_present,conservation_finance_present,lang_report,country,assets,validation,cosine_similarity_best,matched_company_in_memberships,membership_1,type_1,membership_2,type_2,membership_3,type_3,membership_4,type_4,membership_5,type_5,membership_6,type_6,membership_7,type_7,membership_8,type_8
Korea National Pension Service,NPS-Report-2023,132,True,True,False,False,False,False,False,English,South Korea,756.0,0,0.8896452005200561,Korea National Pension Service (NPS),,,,,,,,,,,,,,,,
Hong Kong Monetary Authority,HKMA-Annual-Report-2023,133,True,True,True,True,False,False,False,English,Hong Kong,538.0,0,0.8991306425662058,Hong Kong Monetary Authority (HKMA),,,,,,,,,,,,,,,,
Qatar Investment Authority,,134,,,,,,,,,Qatar,526.0,0,0.4723375154024119,London Pensions Fund Authority,,,,,,,,,,,,,,,,
International Monetary Fund,IMF-Annual-Report-2023,135,True,True,False,True,True,False,False,English,USA,514.0,0,1.0,International Monetary Fund,TNFD Forum,Climate Change,,,,,,,,,,,,,,
California Public Employees Retirement System,,136,,,,,,,,,USA,503.0,0,1.0000000000000002,California Public Employees' Retirement System,Ceres Investor Network on Climate Risk and Sustainability,General,,,,,,,,,,,,,,
Saudia Arabian Monetary Authority ,SAMA-Annual-Report-2023,137,True,False,False,True,True,False,True,English,Saudi Arabia,486.0,0,0.5138832345835047,Hong Kong Monetary Authority (HKMA),,,,,,,,,,,,,,,,
Canada Pension Plan Investment Board,CPP-Annual-Report-2023,138,True,True,False,True,True,True,False,English,Canada,470.0,0,0.8135710659826638,Canada Pension Plan Investment Board (CPPIB),,,,,,,,,,,,,,,,
Central Provident Fund ,CPFB-Annual-Report-2023,139,True,True,True,True,True,False,False,English,Singapore,437.0,0,0.777180465031505,provident fund,,,,,,,,,,,,,,,,
Investment Corporation of Dubai,ICD-Annual-Report-2023,140,True,True,False,True,True,True,False,English,UAE,360.0,0,0.7574343709864872,Dubai Green Fund Investments LLC,,,,,,,,,,,,,,,,
California State Teachers Retirement System,,141,,,,,,,,,USA,347.0,0,1.0,California State Teachers' Retirement System,Ceres Investor Network on Climate Risk and Sustainability,General,,,,,,,,,,,,,,
First Abu Dhabi Bank,FAB-Annual-Report-2023,142,True,True,True,True,True,True,False,English,UAE,318.0,0,0.9602161338570118,First Abu Dhabi Bank P.J.S.C.,Principles for Responsible Banking,General,Net-Zero Banking Alliance,Climate change,,,,,,,,,,,,
Caisse de Depot et Placement du Quebec,CDPQ-Annual-Report-2023,143,True,True,True,False,True,False,True,English,Canada,316.0,0,0.9999999999999999,Caisse de depot et placement du Quebec,Ceres Investor Network on Climate Risk and Sustainability,General,Asset Owner Alliance,Asset Owner Alliance,Montreal Carbon Pledge,,CA100+,Climate change,,,,,,,,
Mubadala,mubadala-annual-report-2023,144,True,True,False,True,True,True,False,English,UAE,309.0,0,0.13403367911000202,Vala Capital,,,,,,,,,,,,,,,,
Temasek holdings,Temasek-Review-2023-Highlights,145,True,True,True,True,True,True,False,English,Singapore,295.0,0,0.8156523024488893,Temasek,,,,,,,,,,,,,,,,
NYC Office of the Comptroller,,146,,,,,,,,,USA,282.0,0,0.7837055329845874,New York City Office of the Comptroller,,,,,,,,,,,,,,,,
New York State Common Retirement Fund,,147,,,,,,,,,USA,268.0,0,1.0000000000000002,New York State Common Retirement Fund,UNPRI,General,CA100+,Climate change,FAIRR,General,Paris Aligned Asset Owners,Climate Change,,,,,,,,
Florida State Board of Administration,FSBA-Annual-Report-2023,148,False,False,False,False,False,False,False,English,USA,260.0,1,0.4612605432568827,EFA (European Fund Administration),,,,,,,,,,,,,,,,
Employees Provident Fund,EPFM-Annual-Report-2023,149,True,True,False,False,True,True,False,English,Malaysia,235.0,0,1.0000000000000002,Employees Provident Fund,UNPRI,General,,,,,,,,,,,,,,
AustralianSuper,Australian-Super-Annual-Report-2023,150,True,True,False,False,False,False,False,English,Australia,230.0,0,1.0000000000000002,AustralianSuper,UNPRI,General,CA100+,Climate change,TNFD Forum,Climate Change,Investor Group on Climate Change,,Institutional Investor Group on Climate Change,Climate,,,,,,
Teacher Retirement System of Texas,,151,,,,,,,,,USA,211.0,0,0.6849702963342125,Teacher’s Retirement System of the City of New York,,,,,,,,,,,,,,,,
Washington State Investment Board,WSIB-Annual-Report-2023,152,True,True,False,False,False,False,False,English,USA,205.0,0,1.0000000000000009,Washington State Investment Board,Ceres Investor Network on Climate Risk and Sustainability,General,CA100+,Climate change,,,,,,,,,,,,
Australian Retirement Trust,ART-Annual-Report-2023,153,True,True,False,True,True,True,False,English,Australia,203.0,0,0.9999999999999998,Australian Retirement Trust,UNPRI,General,Investor Group on Climate Change,,,,,,,,,,,,,
Labor Pension Fund Taiwan,,154,,,,,,,,,Taiwan,202.0,0,0.5765729832976395,Bank of Taiwan,,,,,,,,,,,,,,,,
Abu Dhabi Developmental Holding,ADQ-5-Year-Report-2023,155,True,True,True,True,True,False,False,English,UAE,196.0,0,0.4945443720386927,First Abu Dhabi Bank P.J.S.C.,,,,,,,,,,,,,,,,
Future Fund,Future-Fund-Year-In-Review-2023,156,True,False,True,True,True,True,False,English,Australia,194.0,0,0.7975309764115249,Future Food Fund,,,,,,,,,,,,,,,,
Public Sector Pension Investment Board,PSPIB-Annual-Report-2023,157,False,True,False,False,True,False,False,English,Canada,191.0,1,0.9999999999999999,Public Sector Pension Investment Board,UNPRI,General,,,,,,,,,,,,,,
Korea Investment Corporation,KIC-Annual-Report-2023-organised,158,,,,,,,,South-Korean,South Korea,189.0,0,1.0,Korea Investment Corporation,UNPRI,General,,,,,,,,,,,,,,
Ontario Teachers' Pension Plan,OTPP-Annual-Report-2023,159,True,True,True,False,True,False,True,English,Canada,184.0,0,1.0000000000000002,Ontario Teachers' Pension Plan,CA100+,Climate change,Investor Leadership Network,General,,,,,,,,,,,,
British Columbia Investment Management Corporation,BCI-Annual-Report-2023,160,True,True,False,False,False,False,False,English,Canada,182.0,0,1.0000000000000002,British Columbia Investment Management Corporation,UNPRI,General,CA100+,Climate change,,,,,,,,,,,,
University of California Office of the Regents,UC-Annual-Report-2023,161,False,True,False,False,False,False,False,English,USA,180.0,0,0.7613659554993818,University of California,,,,,,,,,,,,,,,,
Employee's Provident Fund Organisation India,EPFI-Annual-Report-2023,162,False,False,False,True,False,False,False,English,India,176.0,1,0.6163290353139826,Employees Provident Fund,,,,,,,,,,,,,,,,
North Carolina Retirement Systems,,163,,,,,,,,,USA,171.0,0,0.4187807748184545,Boston Retirement System,,,,,,,,,,,,,,,,
Texas Treasury Safekeeping Trust,,164,,,,,,,,,USA,165.0,0,0.38858662060503996,NSW Treasury Corporation,,,,,,,,,,,,,,,,
Public Investment Corporation,PIC-Annual-Integrated-Report-2023,165,True,True,False,False,False,False,False,English,South Africa,152.0,0,0.8548476223338849,Public Investment Corporation (PIC),,,,,,,,,,,,,,,,
National Wealth Fund,,166,,,,,,,,,Russia,148.0,0,0.5575348402488196,NATIONAL-BANK AG,,,,,,,,,,,,,,,,
Minnesota State Board of Investment,MSBI-Annual-Report-2023,167,False,False,False,False,False,False,True,English,USA,146.0,0,1.0000000000000002,Minnesota State Board of Investment,Ceres Investor Network on Climate Risk and Sustainability,General,CA100+,Climate change,,,,,,,,,,,,
New York State Teachers' Retirement Fund,NYSTRF-Annual-Report-2023,168,False,False,False,False,False,False,False,English,USA,146.0,1,0.878368746388085,New York State Teachers' Retirement System,,,,,,,,,,,,,,,,
State of Wisconsin Investment Board,SWIB-Annual-Report-2023,169,False,False,False,False,False,False,False,English,USA,132.0,1,0.4553373852749222,Minnesota State Board of Investment,,,,,,,,,,,,,,,,
National Development Fund (IRN),,170,,,,,,,,,Iran,132.0,0,0.611012549672498,U.S. International Development Finance Corporation,,,,,,,,,,,,,,,,
National Development Fund (SAU),,171,,,,,,,,,Saudi Arabia,132.0,0,0.6259486101874729,U.S. International Development Finance Corporation,,,,,,,,,,,,,,,,
Public Institute for Social Security,,172,,,,,,,,,Kuwait,132.0,0,0.42877273680627653,CFA Institute,,,,,,,,,,,,,,,,
Pension Benefit Guaranty Corporation,pbgc-annual-report-2023,173,False,False,False,False,False,False,False,English,USA,128.0,1,0.51497919803661,green benefit AG,,,,,,,,,,,,,,,,
Government Employees Pension Fund,GEPF-Annual-Report-2023,174,True,True,False,False,False,False,False,English,South Africa,122.0,0,0.7972243513021025,Government Employees Pension Fund of South Africa,,,,,,,,,,,,,,,,
Aware Super,Aware-Super-Annual-Report-2023,175,True,True,True,False,True,True,False,English,Australia,120.0,0,1.0000000000000002,Aware Super,UNPRI,General,CA100+,Climate change,Investor Group on Climate Change,,,,,,,,,,,
AIMco,AIMco-Annual-Report-2023,176,True,True,True,True,True,False,True,English,Canada,118.0,0,1.0,AIMCo,PCAF,Climate Change,Investor Leadership Network,General,,,,,,,,,,,,
Ohio Public Employees Retirement System,OPERSO-Annual-Comprehensive-Report-2023,177,False,False,False,False,False,False,False,English,USA,115.0,1,0.7435285224273517,Maine Public Employee Retirement System,,,,,,,,,,,,,,,,
New York City Teachers' Retirement System,TRSNYC-Annual-Comprehensive-Report-2023,178,False,False,False,False,False,False,False,English,USA,113.0,1,0.9383301967645221,Teachers' Retirement System of the City of New York,UNPRI,General,,,,,,,,,,,,,,
Michigan State Retirement System,MSRS-Annual-Report-2023,179,False,False,False,False,False,False,False,English,USA,108.0,1,0.502960451936894,New York State Teachers' Retirement System,,,,,,,,,,,,,,,,
Teachers Retirement System of Georgia,TRSG-Annual-Comprehensive-Report-2023,180,False,False,False,False,False,False,False,English,USA,106.0,1,0.6464830624398774,Teachers' Retirement System of the City of New York,,,,,,,,,,,,,,,,
Virgina Retirement System,,181,,,,,,,,,USA,106.0,0,0.5495814938135168,Boston Retirement System,,,,,,,,,,,,,,,,
Massachusetts PRIM,Mass-PRIM-Annual-Comprehensive-Report-2023,182,False,True,False,False,False,False,False,English,USA,104.0,0,0.7143473838479913,Massachusetts Financial Services,,,,,,,,,,,,,,,,
Tennessee Department of Treasury,TDT-Annual-Report-2023,183,False,False,False,False,False,False,False,English,USA,99.0,1,0.4138592141719729,NSW Treasury Corporation,,,,,,,,,,,,,,,,
Amitim,Mivtachim-Annual-actuarial-reports-2023,184,False,False,False,False,False,False,False,Hebrew,Israel,98.0,1,0.3152094613461165,AMITA Holdings Co. Ltd,,,,,,,,,,,,,,,,
United Nations Joint Staff Pension Fund,UNJSPF-Annual-Report-2023,185,True,True,True,True,True,True,True,English,USA,97.0,0,1.0000000000000002,United Nations Joint Staff Pension Fund,Ceres Investor Network on Climate Risk and Sustainability,General,UNPRI,General,,,,,,,,,,,,
Ontario Municipal Employees' Retirement System,OMERS-Annual-Report-2023,186,True,True,True,False,True,False,False,English,Canada,96.0,0,0.6423603974651062,East Bay Municipal Utility District Employees Retirement System,,,,,,,,,,,,,,,,
State Teachers Retirement System of Ohio,STRSOH-Annual-Comprehensive-Report-2023,187,False,False,False,False,False,False,False,English,USA,95.0,1,0.7744442607024982,New York State Teachers' Retirement System,,,,,,,,,,,,,,,,
Oregon Public Employees Retirement System,OPERS-Annual-Comprehensive-Report-2023,188,False,False,False,False,False,False,False,English,USA,94.0,1,0.7159700978263513,Maine Public Employee Retirement System,,,,,,,,,,,,,,,,
UniSuper,Uni-Super-Fund-Annual-Report-2023,189,False,True,False,False,False,False,False,English,Australia,92.0,1,1.0000000000000002,UniSuper,CA100+,Climate change,,,,,,,,,,,,,,
Kaiser Permanente,Kaiser-Permanente-Annual-Report-2023,190,True,False,True,False,True,False,True,English,USA,92.0,0,0.3881066338042042,Kaiser Partner Privatbank AG,,,,,,,,,,,,,,,,
RTX,RTX-Annual-Report-2023,191,True,False,False,True,True,False,False,English,USA,89.0,0,0.0,123 Investment Managers,,,,,,,,,,,,,,,,
Raytheon Technologies Pension,,192,,,,,,,,,USA,89.0,0,0.5079969674571462,Arcturus Technologies Limited,,,,,,,,,,,,,,,,
Pension Fund Association,PFA-Annual-Report-2023,193,False,False,False,False,False,False,False,English,Japan,89.0,1,1.0,Pension Fund Association,UNPRI,General,,,,,,,,,,,,,,
Retraite Quebec,Retraite-Quebec-Annual-Report-2023,194,True,False,False,False,False,False,False,French,Canada,87.0,0,0.7120620595363664,Régime de retraite d'Hydro-Québec,,,,,,,,,,,,,,,,
Emirates Investment Authority ,EIA-Inaugural-Report,195,True,True,True,False,False,False,False,English,UAE,86.0,1,0.5351648901059759,Emirates NBD Asset Management,,,,,,,,,,,,,,,,
RGA Reinsurance Company,RGA-Annual-Report-2023,196,False,True,False,False,False,False,False,English,USA,85.0,1,0.6642255063814636,Swiss Reinsurance Company Ltd,,,,,,,,,,,,,,,,
World Bank,World-Bank-Annual-Report-2023,197,True,False,False,True,True,False,True,English,USA,82.0,0,1.0,World Bank,TNFD Forum,Climate Change,,,,,,,,,,,,,,
Healthcare of Ontario Pension Plan,HOOP-Annual-Report-2023,198,True,True,False,True,True,False,False,English,Canada,82.0,0,0.86955820666825,Healthcare of Ontario Pension Plan (HOOPP),,,,,,,,,,,,,,,,
Alaska Permanent Fund Corporation,APFC-Annual-Report-2023,199,False,True,False,False,False,False,False,English,USA,81.0,1,0.5375182559887044,Alaska Asset Management,,,,,,,,,,,,,,,,
New York City Employees Retirement System,NYCERS-Annual-Comprehensive-Report-2023,200,False,False,False,False,False,False,False,English,USA,81.0,1,0.9999999999999999,New York City Employees Retirement System,UNPRI,General,Ceres Investor Network on Climate Risk and Sustainability,General,,,,,,,,,,,,
Hostplus,Hostplus-Annual-Report-2023,201,True,True,False,True,False,False,False,English,Australia,78.0,0,0.9999999999999994,HOSTPLUS,UNPRI,General,,,,,,,,,,,,,,
Lockheed Martin Investment Company,,202,,,,,,,,,USA,78.0,0,0.41984169485045114,Martin Currie Investment Management,,,,,,,,,,,,,,,,
Permodalan Nasional Berhad,PNB-Integrated-Annual-Report-2023,203,False,False,False,False,False,False,False,English,Malaysia,77.0,1,0.49995810850743294,Khazanah Nasional Berhad,,,,,,,,,,,,,,,,
New Jersey Investment Division,NJID-Annual-Report-2023,204,True,True,True,True,True,True,False,English,USA,76.0,0,0.9870294892700509,New Jersey Division of Investment,Ceres Investor Network on Climate Risk and Sustainability,General,CA100+,Climate change,,,,,,,,,,,,
IBM (US) Retirement Fund,,205,,,,,,,,,USA,76.0,0,0.7010863019083967,LA Retirement Fund,,,,,,,,,,,,,,,,
General Electric Pension,,206,,,,,,,,,USA,74.0,0,0.4057616074466525,"Banco General, S.A.",,,,,,,,,,,,,,,,
New South Wales Treasury Corporation,NSWTC-Annual-Report-2023,207,True,True,True,False,False,True,False,English,Australia,74.0,0,0.7618427284404765,"New South Wales Treasury, Government of Australia",,,,,,,,,,,,,,,,
Los Angeles County Employees Retirement Assocation,LACERA-Annual-Comprehensive-Report-2023,208,False,True,False,False,False,False,False,English,USA,74.0,1,0.8707948473982849,Los Angeles County Employees Retirement Association,,,,,,,,,,,,,,,,
QIC,QIC-Annual-Report-2023,209,True,True,False,True,True,False,False,English,Australia,73.0,0,1.0000000000000002,QIC,UNPRI,General,CA100+,Climate change,Investor Group on Climate Change,,,,,,,,,,,
GM pension,,210,,,,,,,,,USA,73.0,0,0.6187668696839831,AP Pension,,,,,,,,,,,,,,,,
Pennsylvania Public School Employees' Retirement System,PPSERS-Annual-Comprehensive-Report-2023,211,False,True,False,False,False,False,False,English,USA,73.0,0,0.574938568254352,California Public Employees' Retirement System,,,,,,,,,,,,,,,,
United Parcel Service Pension,,212,,,,,,,,,USA,72.0,0,0.5060560616537231,National Pension Service,,,,,,,,,,,,,,,,
Teachers' Retirement System of the State of Illinois,TRSSI-Annual-Comprehensive-Report-2023,213,False,False,False,False,False,False,False,English,USA,71.0,1,0.6743971998996953,New York State Teachers' Retirement System,,,,,,,,,,,,,,,,
University Texas/Texas A&M Investment Company,UTIMCO-Annual-Report-2023,214,False,False,False,False,False,False,False,English,USA,70.0,1,0.38519059191804894,TED University,,,,,,,,,,,,,,,,
Samruk-Kazyna,Samruk-Kazyna-Annual-Report-2023,215,True,True,True,False,False,False,False,English,Kazakhstan,70.0,1,0.45668815450912376,Kazyna Capital Management Joint Stock Company,,,,,,,,,,,,,,,,
Maryland State Retirement,MSR-Annual-Comprehensive-Report-2023,216,False,True,False,False,False,False,False,English,USA,68.0,0,0.8354831795754782,Maryland State Retirement and Pension System,,,,,,,,,,,,,,,,
Afore XXI Banorte,,217,,,,,,,,,Mexico,68.0,0,1.0000000000000004,Afore XXI Banorte,UNPRI,General,CA100+,Climate change,,,,,,,,,,,,
Libyan Investment Authority,LIA-Overview-Valuation-2019,218,False,False,False,False,False,False,False,English,Libya,67.0,1,0.4430552619564904,London Pensions Fund Authority,,,,,,,,,,,,,,,,
Tennessee Consolidated Retirement System,TCRS-Annual-Comprehensive-Report-2023,219,False,False,False,False,False,False,False,English,USA,65.0,1,0.38390892261631543,Boston Retirement System,,,,,,,,,,,,,,,,
Nevada Public Employees' Retirement,,220,,,,,,,,,USA,64.0,0,0.5897109960031348,Maine Public Employee Retirement System,,,,,,,,,,,,,,,,
Cbus Super,Cbus-Super-Annual-Integrated-Report-2023,221,True,True,False,True,True,False,False,English,Australia,63.0,0,0.7774364179129118,Cbus,,,,,,,,,,,,,,,,
Afore Profuturo GNP,GNP-Annual-Report-2023,222,True,True,False,False,False,False,False,Spanish,Mexico,62.0,0,0.8884433571813376,Afore Profuturo,,,,,,,,,,,,,,,,
Lilly Endowment,LE-Annual-Report-2023,223,False,True,False,False,False,False,False,English,USA,62.0,0,0.6229975392830849,OU Endowment Management,,,,,,,,,,,,,,,,
Northrop Grumman,NG-Annual-Report-2023,224,True,True,False,True,True,False,True,English,USA,62.0,0,0.22256391006042242,True North,,,,,,,,,,,,,,,,
Coloroda Public Employees Retirement,CPER-Annual-Comprehensive-Report-2023,225,False,True,False,False,False,False,False,English,USA,61.0,0,0.5553488289912724,Maine Public Employee Retirement System,,,,,,,,,,,,,,,,
AMP,AMP-Annual-Report-2023,226,False,True,False,True,True,False,False,English,Australia,61.0,0,1.0,AMP Limited,UNPRI,General,,,,,,,,,,,,,,
Brunei Investment Agency,,227,,,,,,,,,Brunei,60.0,0,0.3677251781913129,NEI Investments,,,,,,,,,,,,,,,,
HESTA Super Fund,HESTA-Annual-Report-2023,228,True,True,True,False,False,False,False,English,Australia,59.0,0,1.0,HESTA Super Fund,UNPRI,General,,,,,,,,,,,,,,
UAW Retiree Medical Benefits Trust,UAW-All-Members-Benefits-Highlights-2023,229,False,False,False,False,False,False,False,English,USA,59.0,1,1.0000000000000002,UAW Retiree Medical Benefits Trust,Ceres Investor Network on Climate Risk and Sustainability,General,UNPRI,General,,,,,,,,,,,,
Insignia Financial,Insignia-Financial-Annual-Report-2023,230,True,True,False,False,False,False,True,English,Australia,58.0,0,0.6300143332423377,Insignia Assets Management,,,,,,,,,,,,,,,,
REST Super,REST-super-Annual-Report-2023,231,True,True,True,True,False,False,False,English,Australia,57.0,0,0.6564253399245635,Rest,,,,,,,,,,,,,,,,
Cascade Investments,,232,,,,,,,,,USA,57.0,0,0.44532157724793414,M&G Investments,,,,,,,,,,,,,,,,
Texas Permanent School Fund,TPSF-Annual-Comprehensive-Report-2023,233,False,False,True,False,False,False,False,English,USA,57.0,0,0.34712198332364747,Sophia School Corporation,,,,,,,,,,,,,,,,
Victorian Funds Management Corporation,VFMC-Annual-Report-2023,234,True,True,True,True,True,True,True,English,Australia,57.0,0,0.9999999999999997,Victorian Funds Management Corporation,UNPRI,General,Investor Group on Climate Change,,,,,,,,,,,,,
State Oil Fund of Azerbaijan,Oil-Fund-Azerbaijan-Annual-Report-2023,235,True,True,False,False,False,False,False,English,Azerbaijan,56.0,0,0.2057352712018311,New York State Insurance Fund,,,,,,,,,,,,,,,,
Investment Management Corporation of Ontario,IMCO-Annual-Report-2023,236,True,True,True,True,True,True,False,English,Canada,56.0,0,1.0000000000000002,Investment Management Corporation of Ontario,Ceres Investor Network on Climate Risk and Sustainability,General,Paris Aligned Asset Owners,Climate Change,,,,,,,,,,,,
Western Conference of Teamsters Pension Trust,,237,,,,,,,,,USA,55.0,0,0.4146673981882846,"International Brotherhood of Teamsters, Pension Fund",,,,,,,,,,,,,,,,
Afore Citibanamex,Afore-Citibanamex-Raporte-de-la-Administracion-2023,238,False,False,False,False,False,False,False,Spanish ,Mexico,55.0,1,1.0000000000000002,Citibanamex Afore,UNPRI,General,,,,,,,,,,,,,,
Ford Motor Company Pension Fund,,239,,,,,,,,,USA,55.0,0,0.4902993256640443,"Honda Motor Co., Ltd.",,,,,,,,,,,,,,,,
Sura Afore,Sura-Afore-Informe-Anual-2023,240,True,True,False,False,True,False,False,Spanish ,Mexico,55.0,0,1.0,Afore Sura,UNPRI,General,CA100+,Climate change,,,,,,,,,,,,
Wells Fargo Retirement Plan,WFRP-Annual-Report-2023,241,False,True,False,False,False,False,False,English,USA,55.0,0,0.7691081337979456,Wells Fargo & Company,,,,,,,,,,,,,,,,
NYC Police Pension Fund,NYCPPF-Annual-Comprehensive-Report-2023,242,False,False,False,False,False,False,False,English,USA,54.0,1,0.43420658875706425,Fire and Police Pension Association of Colorado,,,,,,,,,,,,,,,,
Illinois Municipal Retirement Fund,IMRF-Annual-Comprehensive-Report-2023,243,False,True,False,True,False,False,False,English,USA,54.0,0,0.4586700464256324,LA Retirement Fund,,,,,,,,,,,,,,,,
JP Morgan Chase,JP-Morgan-Chase-Annual-Report-2023,244,True,True,False,True,True,True,False,English,USA,54.0,0,1.0,JP Morgan Chase & Co.,Global Impact Investment Network,,,,,,,,,,,,,,,
Arizona State Retirement System,ASRS-Annual-Comprehensive-Report-2023,245,False,False,False,False,False,False,False,English,USA,52.0,1,0.5303584465458151,Arizona State University Foundation,,,,,,,,,,,,,,,,
AFP Habitat SA,AFP-Habitat-Cuenta-Pública-2023,246,True,True,False,False,False,False,False,Spanish,Chile,52.0,0,0.6336555842442316,The Habitat People,,,,,,,,,,,,,,,,
Harvard Management Company (Harvard University Investment),HMC-Annual-Report-2023,247,True,True,True,True,True,False,False,English,USA,51.0,0,0.8967275442082914,Harvard Management Company (Harvard University Endowment),,,,,,,,,,,,,,,,
Public School and Education Employee Retirement Systems of Missouri,PSEERSM-Annual-Comprehensive-Report-2023,248,False,False,False,False,False,False,False,English,USA,50.0,1,0.5461156236732332,Maine Public Employee Retirement System,,,,,,,,,,,,,,,,
Exelon Corporation Pension Plan,,249,,,,,,,,,USA,50.0,0,0.7955402491905141,Exelon Corporation,,,,,,,,,,,,,,,,
National Federation of Mutual Aid Associations for Municipal Personnel (Shichousonren),NFMAAMP-Annual-Report-2022,250,False,True,False,False,False,False,False,English,Japan,50.0,0,0.3710808301068949,Federation of Canadian Municipalities,,,,,,,,,,,,,,,,
New Mexico State Investment Council,,251,,,,,,,,,USA,50.0,0,0.5123833197086398,New Mexico State Treasurer's Office,,,,,,,,,,,,,,,,
Office of the Treasurer of the State of Connecticut,Treasurer-Connecticut-Annual-Report-2023,252,False,False,False,False,False,False,False,English,USA,50.0,1,0.9616664961947914,Connecticut Office of the State Treasurer,Ceres Investor Network on Climate Risk and Sustainability,General,,,,,,,,,,,,,,
Connecticut Retirement Plans and Trust Funds,,253,,,,,,,,,USA,50.0,0,0.8782700828729894,Connecticut Retirement Plans and Trust Funds (CRPTF),,,,,,,,,,,,,,,,
FedEx Pension,,254,,,,,,,,,USA,49.0,0,0.4452539424599736,AP Pension,,,,,,,,,,,,,,,,
Boeing Employee Retirement Plan,,255,,,,,,,,,USA,49.0,0,0.481411231313951,Maine Public Employee Retirement System,,,,,,,,,,,,,,,,
State Farm Pension,,256,,,,,,,,,USA,48.0,0,0.46743941326512783,Old Farm Partners,,,,,,,,,,,,,,,,
Retirement Systems of Alabama,RSA-Annual-Report-2023,257,False,True,False,False,False,False,False,English,USA,48.0,0,0.45002758173820995,Boston Retirement System,,,,,,,,,,,,,,,,
Mastercard Foundation Asset Management,,258,,,,,,,,,Canada,47.0,0,0.8894995582755215,The Mastercard Foundation,,,,,,,,,,,,,,,,
Indiana Public Employees Retirement,INPRS-Annual-Comprehensive-Report-2023,259,False,False,False,False,False,False,False,English,USA,47.0,1,0.6067755299111596,Maine Public Employee Retirement System,,,,,,,,,,,,,,,,
Texas County and District Retirement System,TCDRS-Annual-Comprehensive-Report-2023,260,False,False,False,False,False,False,False,English,USA,46.0,1,0.5298224122153434,East Bay Municipal Utility District Retirement System,,,,,,,,,,,,,,,,
New Zealand Superannuation,New-Zealand-Superannuation-Annual-Report-2023,261,True,True,False,True,True,True,False,English,New Zealand,46.0,1,0.9684792113712455,New Zealand Superannuation Fund,UNPRI,General,CA100+,Climate change,,,,,,,,,,,,
Local Authorities Pension Plan Alberta,LAPP-Annual-Report-2023,262,True,True,False,False,False,False,False,English,Canada,46.0,0,0.55052236776674,Local Authority Pension Fund Forum,,,,,,,,,,,,,,,,
Verizon Investment Management,,263,,,,,,,,,USA,46.0,0,0.5245976322345398,SL Investment Management Ltd,,,,,,,,,,,,,,,,
Public School Employees,,264,,,,,,,,,Japan,45.0,0,0.5870618442331167,Canadian Union of Public Employees Employees' Pension Plan (CEPP),,,,,,,,,,,,,,,,
Iowa Public Employees Retirement System,IPERS-Annual-Comprehensive-Report-2023,265,False,False,True,False,False,False,False,English,USA,44.0,0,0.7259082175653493,Maine Public Employee Retirement System,,,,,,,,,,,,,,,,
Stanford Management Company,,266,,,,,,,,,USA,42.0,0,0.5311930991771077,Sanford DeLand Asset Management,,,,,,,,,,,,,,,,
Microsoft,Microsoft-Annual-Report-2023,267,False,True,False,False,True,False,True,English,USA,42.0,0,0.2954351127342402,"Microvest Capital Management, LLC",,,,,,,,,,,,,,,,
Texas Municipal Retirement System,TMRS-Annual-Comprehensive-Report-2022,268,False,False,False,False,False,False,False,English,USA,41.0,1,0.5812164563419645,East Bay Municipal Utility District Retirement System,,,,,,,,,,,,,,,,
Minnesota Public Employees Retirement Association,MNPERA-Annual-Comprehensive-Report-2023,269,False,False,False,True,False,False,False,English,USA,41.0,0,0.5526985740407383,Los Angeles County Employees Retirement Association,,,,,,,,,,,,,,,,
AFP Provida,Pro-Vida-Reporte-Integrado-2023,270,True,True,False,False,False,False,False,Spanish ,Chile,41.0,0,0.9817642257811766,AFP Provida S.A.,UNPRI,General,,,,,,,,,,,,,,
Nebraska Investment Council,NIC-Annual-Report-2023,271,False,True,False,False,False,False,False,English,USA,41.0,0,0.46408856412438626,Australian Investment Council,,,,,,,,,,,,,,,,
Yale University Investment Office ,Yale-Investment-Report-2023,272,False,True,False,False,False,False,False,English,USA,41.0,0,0.6747715184477516,Tufts University Investment Office,,,,,,,,,,,,,,,,
South Carolina Retirement System Investment Commission,SCRSIC-Annual-Investment-Report-2023,273,False,False,False,False,False,False,False,English,USA,41.0,1,0.40068017036469566,Boston Retirement System,,,,,,,,,,,,,,,,
CommonSpirit Health,Common-Spirit-Health-Financial-Statements-2024,274,False,True,False,False,False,False,False,English,USA,40.0,0,0.41703494173244254,Spirit Super,,,,,,,,,,,,,,,,
Employees Retirement System of Texas,ERST-Annual-Comprehensive-Report-2023,275,False,False,False,False,False,False,False,English,USA,40.0,1,0.6958874063281416,New York City Employees Retirement System,,,,,,,,,,,,,,,,
Retirement Fund KWAP,KWAP-Annual-Report-2022,276,True,True,False,True,False,False,False,English,Malaysia,38.0,0,1.0000000000000002,Retirement Fund (Incorporated) (KWAP),UNPRI,General,,,,,,,,,,,,,,
AFP Proteccion,AFP-Proteccion-Informe-Annual-2023,277,True,True,False,False,False,False,False,Spanish ,Colombia,38.0,0,0.9071706467366742,Proteccion SA,UNPRI,General,,,,,,,,,,,,,,
